Append Mode,1;;;;;;;;;;;;;;;;;;;;;;;
Fill Mode,1;;;;;;;;;;;;;;;;;;;;;;;
Capacity,10000;;;;;;;;;;;;;;;;;;;;;;;
Count,51;;;-1000000;;;;;;;;;;;;;;;;;;;;
Base Time Seconds,1430125027;;;;;;;;;;;;;;;;;;;;;;;
Base Time Fractional,115882500;;;;;;;;;;;;;;;;;;;;;;;
Index,Reading,Unit,Range Digits,Disp Digits,Math,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds;;;;;;;;;;;;;;;;;;;;;;;
1;129;Amp DC;.001;05.mai;F;F;F;F;F;Front;F;Main;1;Volt DC;10;T;2W;F;F;04/27/2015;08:57:07;.115882500;128,51
2;126;Amp DC;.001;05.mai;F;F;F;F;F;Front;F;Main;1,05;Volt DC;10;T;2W;F;F;04/27/2015;08:57:07;.199573500;132,43
3;124;Amp DC;.001;05.mai;F;F;F;F;F;Front;F;Main;1,1;Volt DC;10;T;2W;F;F;04/27/2015;08:57:07;.283270583;136,62
4;122;Amp DC;.001;05.mai;F;F;F;F;F;Front;F;Main;1,15;Volt DC;10;T;2W;F;F;04/27/2015;08:57:07;.366939583;140,61
5;120;Amp DC;.001;05.mai;F;F;F;F;F;Front;F;Main;1,2;Volt DC;10;T;2W;F;F;04/27/2015;08:57:07;.450601583;144,01
6;118;Amp DC;.001;05.mai;F;F;F;F;F;Front;F;Main;1,25;Volt DC;10;T;2W;F;F;04/27/2015;08:57:07;.534289083;147
7;115;Amp DC;.001;05.mai;F;F;F;F;F;Front;F;Main;1,3;Volt DC;10;T;2W;F;F;04/27/2015;08:57:07;.617969083;149,34
8;112;Amp DC;.001;05.mai;F;F;F;F;F;Front;F;Main;1,35;Volt DC;10;T;2W;F;F;04/27/2015;08:57:07;.701657583;151,01
9;109;Amp DC;.001;05.mai;F;F;F;F;F;Front;F;Main;1,4;Volt DC;10;T;2W;F;F;04/27/2015;08:57:07;.785350199;152
10;105;Amp DC;.001;05.mai;F;F;F;F;F;Front;F;Main;1,45;Volt DC;10;T;2W;F;F;04/27/2015;08:57:07;.869023699;152,32
11;101;Amp DC;.001;05.mai;F;F;F;F;F;Front;F;Main;1,5;Volt DC;10;T;2W;F;F;04/27/2015;08:57:07;.952679199;151,45
12;97;Amp DC;.001;05.mai;F;F;F;F;F;Front;F;Main;1,55;Volt DC;10;T;2W;F;F;04/27/2015;08:57:08;.502088730;150,36
13;92;Amp DC;.001;05.mai;F;F;F;F;F;Front;F;Main;1,6;Volt DC;10;T;2W;F;F;04/27/2015;08:57:09;.051482500;146,61
14;81;Amp DC;.0001;05.mai;F;F;F;F;F;Front;F;Main;1,68;Volt DC;10;T;2W;F;F;04/27/2015;08:57:09;.293364365;135,95
15;79;Amp DC;.001;05.mai;F;F;F;F;F;Front;F;Main;1,7;Volt DC;10;T;2W;F;F;04/27/2015;08:57:09;.684563865;134,26
16;70;Amp DC;.001;05.mai;F;F;F;F;F;Front;F;Main;1,75;Volt DC;10;T;2W;F;F;04/27/2015;08:57:10;.233997005;122,55
17;58;Amp DC;.0001;05.mai;F;F;F;F;F;Front;F;Main;1,8;Volt DC;10;T;2W;F;F;04/27/2015;08:57:10;.475914005;104,85
18;43;Amp DC;.0001;05.mai;F;F;F;F;F;Front;F;Main;1,85;Volt DC;10;T;2W;F;F;04/27/2015;08:57:10;.559613005;80,27
19;24;Amp DC;.0001;05.mai;F;F;F;F;F;Front;F;Main;1,9;Volt DC;10;T;2W;F;F;04/27/2015;08:57:10;.643300005;46,36
20;0;Amp DC;.0000001;05.mai;F;F;F;F;F;Front;F;Main;1,94;Volt DC;10;T;2W;F;F;04/27/2015;08:57:11;.096924500;-0,11
21,0.0000310940050,Amp DC,.0001,5.5,F,F,F,F,F,Front,F,Main,1.9998189210892,Volt DC,10,T,2W,F,F,04/27/2015,08:57:11,.650293648;;;;;;;;;;;;;;;;;;;;;;;
22,0.0000716954382,Amp DC,.0001,5.5,F,F,F,F,F,Front,F,Main,2.0497484207153,Volt DC,10,T,2W,F,F,04/27/2015,08:57:11,.733979451;;;;;;;;;;;;;;;;;;;;;;;
23,0.0001250766654,Amp DC,.001,5.5,F,F,F,F,F,Front,F,Main,2.0998792648315,Volt DC,10,T,2W,F,F,04/27/2015,08:57:12,.125159500;;;;;;;;;;;;;;;;;;;;;;;
24,0.0001944538526,Amp DC,.001,5.5,F,F,F,F,F,Front,F,Main,2.1496205329895,Volt DC,10,T,2W,F,F,04/27/2015,08:57:12,.208851500;;;;;;;;;;;;;;;;;;;;;;;
25,0.0002854058985,Amp DC,.001,5.5,F,F,F,F,F,Front,F,Main,2.1995947360992,Volt DC,10,T,2W,F,F,04/27/2015,08:57:12,.292524185;;;;;;;;;;;;;;;;;;;;;;;
26,0.0004045092501,Amp DC,.001,5.5,F,F,F,F,F,Front,F,Main,2.2496786117554,Volt DC,10,T,2W,F,F,04/27/2015,08:57:12,.376193185;;;;;;;;;;;;;;;;;;;;;;;
27,0.0005597563577,Amp DC,.001,5.5,F,F,F,F,F,Front,F,Main,2.2996628284454,Volt DC,10,T,2W,F,F,04/27/2015,08:57:12,.459870185;;;;;;;;;;;;;;;;;;;;;;;
28,0.0007616751245,Amp DC,.001,5.5,F,F,F,F,F,Front,F,Main,2.3496925830841,Volt DC,10,T,2W,F,F,04/27/2015,08:57:12,.543539685;;;;;;;;;;;;;;;;;;;;;;;
29,0.0010220803088,Amp DC,.001,5.5,F,F,F,F,F,Front,F,Main,2.3996331691742,Volt DC,10,T,2W,F,F,04/27/2015,08:57:12,.627221685;;;;;;;;;;;;;;;;;;;;;;;
30,0.0013628250454,Amp DC,.01,5.5,F,F,F,F,F,Front,F,Main,2.4498417377472,Volt DC,10,T,2W,F,F,04/27/2015,08:57:13,.018391000;;;;;;;;;;;;;;;;;;;;;;;
31,0.0017914506607,Amp DC,.01,5.5,F,F,F,F,F,Front,F,Main,2.4999046325684,Volt DC,10,T,2W,F,F,04/27/2015,08:57:13,.102078000;;;;;;;;;;;;;;;;;;;;;;;
32,0.0023272724357,Amp DC,.01,5.5,F,F,F,F,F,Front,F,Main,2.5495541095734,Volt DC,10,T,2W,F,F,04/27/2015,08:57:13,.185742500;;;;;;;;;;;;;;;;;;;;;;;
33,0.0029990719631,Amp DC,.01,5.5,F,F,F,F,F,Front,F,Main,2.5995986461639,Volt DC,10,T,2W,F,F,04/27/2015,08:57:13,.269431776;;;;;;;;;;;;;;;;;;;;;;;
34,0.0038242505398,Amp DC,.01,5.5,F,F,F,F,F,Front,F,Main,2.6495752334595,Volt DC,10,T,2W,F,F,04/27/2015,08:57:13,.353100276;;;;;;;;;;;;;;;;;;;;;;;
35,0.0048258802854,Amp DC,.01,5.5,F,F,F,F,F,Front,F,Main,2.6995832920074,Volt DC,10,T,2W,F,F,04/27/2015,08:57:13,.436756276;;;;;;;;;;;;;;;;;;;;;;;
36,0.0060252230614,Amp DC,.01,5.5,F,F,F,F,F,Front,F,Main,2.7496352195740,Volt DC,10,T,2W,F,F,04/27/2015,08:57:13,.520441276;;;;;;;;;;;;;;;;;;;;;;;
37,0.0074387993664,Amp DC,.01,5.5,F,F,F,F,F,Front,F,Main,2.7996132373810,Volt DC,10,T,2W,F,F,04/27/2015,08:57:13,.604100276;;;;;;;;;;;;;;;;;;;;;;;
38,0.0090862233192,Amp DC,.01,5.5,F,F,F,F,F,Front,F,Main,2.8496401309967,Volt DC,10,T,2W,F,F,04/27/2015,08:57:13,.687753776;;;;;;;;;;;;;;;;;;;;;;;
39,0.0110112344846,Amp DC,.1,5.5,F,F,F,F,F,Front,F,Main,2.8998446464539,Volt DC,10,T,2W,F,F,04/27/2015,08:57:13,.924731454;;;;;;;;;;;;;;;;;;;;;;;
40,0.0131528582424,Amp DC,.1,5.5,F,F,F,F,F,Front,F,Main,2.9496123790741,Volt DC,10,T,2W,F,F,04/27/2015,08:57:14,.008428000;;;;;;;;;;;;;;;;;;;;;;;
41,0.0155703276396,Amp DC,.1,5.5,F,F,F,F,F,Front,F,Main,2.9996421337128,Volt DC,10,T,2W,F,F,04/27/2015,08:57:14,.092105500;;;;;;;;;;;;;;;;;;;;;;;
42,0.0182539857924,Amp DC,.1,5.5,F,F,F,F,F,Front,F,Main,3.0496523380280,Volt DC,10,T,2W,F,F,04/27/2015,08:57:14,.175789000;;;;;;;;;;;;;;;;;;;;;;;
43,0.0212076567113,Amp DC,.1,5.5,F,F,F,F,F,Front,F,Main,3.0996797084808,Volt DC,10,T,2W,F,F,04/27/2015,08:57:14,.259469965;;;;;;;;;;;;;;;;;;;;;;;
44,0.0244249049574,Amp DC,.1,5.5,F,F,F,F,F,Front,F,Main,3.1496841907501,Volt DC,10,T,2W,F,F,04/27/2015,08:57:14,.343153465;;;;;;;;;;;;;;;;;;;;;;;
45,0.0279111284763,Amp DC,.1,5.5,F,F,F,F,F,Front,F,Main,3.1997566223145,Volt DC,10,T,2W,F,F,04/27/2015,08:57:14,.426830965;;;;;;;;;;;;;;;;;;;;;;;
46,0.0316513106227,Amp DC,.1,5.5,F,F,F,F,F,Front,F,Main,3.2497620582581,Volt DC,10,T,2W,F,F,04/27/2015,08:57:14,.510508965;;;;;;;;;;;;;;;;;;;;;;;
47,0.0356232412159,Amp DC,.1,5.5,F,F,F,F,F,Front,F,Main,3.2995076179504,Volt DC,10,T,2W,F,F,04/27/2015,08:57:14,.594196965;;;;;;;;;;;;;;;;;;;;;;;
48,0.0398675017059,Amp DC,.1,5.5,F,F,F,F,F,Front,F,Main,3.3495714664459,Volt DC,10,T,2W,F,F,04/27/2015,08:57:14,.677873965;;;;;;;;;;;;;;;;;;;;;;;
49,0.0443442575634,Amp DC,.1,5.5,F,F,F,F,F,Front,F,Main,3.3995547294617,Volt DC,10,T,2W,F,F,04/27/2015,08:57:14,.761575675;;;;;;;;;;;;;;;;;;;;;;;
50,0.0490641556680,Amp DC,.1,5.5,F,F,F,F,F,Front,F,Main,3.4496383666992,Volt DC,10,T,2W,F,F,04/27/2015,08:57:14,.845268675;;;;;;;;;;;;;;;;;;;;;;;
51,0.0539997406304,Amp DC,.1,5.5,F,F,F,F,F,Front,F,Main,3.4996106624603,Volt DC,10,T,2W,F,F,04/27/2015,08:57:14,.928925175;;;;;;;;;;;;;;;;;;;;;;;
